experiment_id,source_experiment_id,model_family,workload_name,model,gpu_memory_utilization,max_num_seqs,max_model_len,dataset_path,request_rate,seed
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r3p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s91.jsonl,3.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r8p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s91.jsonl,8.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r1p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92.jsonl,1.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r3p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92.jsonl,3.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r8p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s92.jsonl,8.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r1p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93.jsonl,1.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r3p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93.jsonl,3.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u50-a4-r8p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u50-a4-s93.jsonl,8.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r1p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91.jsonl,1.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r3p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91.jsonl,3.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r8p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s91.jsonl,8.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r1p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92.jsonl,1.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r3p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92.jsonl,3.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r8p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s92.jsonl,8.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r1p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93.jsonl,1.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r3p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93.jsonl,3.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u60-a8-r8p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u60-a8-s93.jsonl,8.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r1p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91.jsonl,1.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r3p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91.jsonl,3.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r8p0-s91,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s91.jsonl,8.0,91
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r1p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92.jsonl,1.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r3p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92.jsonl,3.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r8p0-s92,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s92.jsonl,8.0,92
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r1p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93.jsonl,1.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r3p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93.jsonl,3.0,93
strong-xfer-serve-qwen25_1p5b-gsm8k_long-u70-a16-r8p0-s93,strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93,qwen25_1p5b,gsm8k_long,Qwen/Qwen2.5-1.5B-Instruct,0.7,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_1p5b-gsm8k_long-u70-a16-s93.jsonl,8.0,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r0p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91.jsonl,0.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r1p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91.jsonl,1.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r4p0-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s91.jsonl,4.0,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r0p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92.jsonl,0.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r1p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92.jsonl,1.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r4p0-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s92.jsonl,4.0,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r0p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93.jsonl,0.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r1p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93.jsonl,1.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u30-a1-r4p0-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.3,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u30-a1-s93.jsonl,4.0,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r0p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91.jsonl,0.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r1p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91.jsonl,1.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r4p0-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s91.jsonl,4.0,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r0p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92.jsonl,0.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r1p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92.jsonl,1.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r4p0-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s92.jsonl,4.0,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r0p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93.jsonl,0.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r1p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93.jsonl,1.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u40-a2-r4p0-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.4,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u40-a2-s93.jsonl,4.0,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r0p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91.jsonl,0.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r1p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91.jsonl,1.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r4p0-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s91.jsonl,4.0,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r0p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92.jsonl,0.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r1p5-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92.jsonl,1.5,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r4p0-s92,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s92.jsonl,4.0,92
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r0p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93.jsonl,0.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r1p5-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93.jsonl,1.5,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u50-a4-r4p0-s93,strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.5,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u50-a4-s93.jsonl,4.0,93
strong-xfer-serve-qwen25_3b-gsm8k_long-u60-a8-r0p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91.jsonl,0.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u60-a8-r1p5-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91.jsonl,1.5,91
strong-xfer-serve-qwen25_3b-gsm8k_long-u60-a8-r4p0-s91,strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91,qwen25_3b,gsm8k_long,Qwen/Qwen2.5-3B-Instruct,0.6,64,3072,/mnt/proj3/open-35-44/verl/rl/profiles/strengthening/matched_requests/strong-xfer-rl-qwen25_3b-gsm8k_long-u60-a8-s91.jsonl,4.0,91
