experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms,workload_name,custom_reward_function_path,custom_reward_function_name
strong-granite-confirmatory-grpo-gsm8k_long-c5-s93,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,gsm8k,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,128,32,93,1,100,gsm8k_long,,
strong-granite-confirmatory-grpo-math_short-c0-s91,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c0-s92,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c0-s93,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c1-s91,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c1-s92,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c1-s93,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c2-s91,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c2-s92,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c2-s93,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c3-s91,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c3-s92,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c3-s93,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c4-s91,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c4-s92,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c4-s93,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c5-s91,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,256,64,91,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c5-s92,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,256,64,92,1,100,math_short,,
strong-granite-confirmatory-grpo-math_short-c5-s93,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,math,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,256,64,93,1,100,math_short,,
strong-granite-confirmatory-grpo-code_standard-c0-s91,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,1,4,4,0.3,True,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c0-s92,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,1,4,4,0.3,True,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c0-s93,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,1,4,4,0.3,True,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c1-s91,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,4,4,4,0.45,True,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c1-s92,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,4,4,4,0.45,True,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c1-s93,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,4,4,4,0.45,True,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c2-s91,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c2-s92,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c2-s93,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,8,4,4,0.6,False,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c3-s91,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c3-s92,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c3-s93,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.7,False,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c4-s91,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.8,False,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c4-s92,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.8,False,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c4-s93,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,16,4,4,0.8,False,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c5-s91,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,32,4,4,0.85,False,False,True,640,1024,1664,64,2,32,128,32,91,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c5-s92,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,32,4,4,0.85,False,False,True,640,1024,1664,64,2,32,128,32,92,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_standard-c5-s93,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,code_standard,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/standard,2,1,32,4,4,0.85,False,False,True,640,1024,1664,64,2,32,128,32,93,1,100,code_standard,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c0-s91,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,1,4,4,0.3,True,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c0-s92,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,1,4,4,0.3,True,False,True,1536,1024,2560,64,2,32,128,32,92,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c0-s93,strengthening_granite_confirmatory,confirmatory,c0,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,1,4,4,0.3,True,False,True,1536,1024,2560,64,2,32,128,32,93,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c1-s91,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,4,4,4,0.45,True,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c1-s92,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,4,4,4,0.45,True,False,True,1536,1024,2560,64,2,32,128,32,92,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c1-s93,strengthening_granite_confirmatory,confirmatory,c1,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,4,4,4,0.45,True,False,True,1536,1024,2560,64,2,32,128,32,93,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c2-s91,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c2-s92,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,92,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c2-s93,strengthening_granite_confirmatory,confirmatory,c2,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,8,4,4,0.6,False,False,True,1536,1024,2560,64,2,32,128,32,93,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c3-s91,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c3-s92,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,92,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c3-s93,strengthening_granite_confirmatory,confirmatory,c3,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.7,False,False,True,1536,1024,2560,64,2,32,128,32,93,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c4-s91,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.8,False,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c4-s92,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.8,False,False,True,1536,1024,2560,64,2,32,128,32,92,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c4-s93,strengthening_granite_confirmatory,confirmatory,c4,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,16,4,4,0.8,False,False,True,1536,1024,2560,64,2,32,128,32,93,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
strong-granite-confirmatory-grpo-code_heavy_tail-c5-s91,strengthening_granite_confirmatory,confirmatory,c5,granite33_2b,grpo,code_heavy_tail,ibm-granite/granite-3.3-2b-instruct,/mnt/proj3/open-35-44/verl/rl/data/codecontests/heavy_tail,2,1,32,4,4,0.85,False,False,True,1536,1024,2560,64,2,32,128,32,91,1,100,code_heavy_tail,/mnt/proj3/open-35-44/verl/rl/memory_tuner/code_shape_reward.py,compute_score
