experiment_id,run_group,study_stage,configuration_level,model_family,algorithm,dataset,model,data_dir,gpu_count,rollout_tp_size,actor_micro_batch,rollout_logprob_micro_batch,ref_logprob_micro_batch,vllm_gpu_memory_utilization,parameter_offload,optimizer_offload,free_cache_engine,max_prompt_length,max_response_length,max_model_len,max_num_seqs,rollout_n,train_batch_size,train_max_samples,val_max_samples,training_seed,total_training_steps,gpu_monitor_interval_ms
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-phi4_mini-grpo-gsm8k_long-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-phi4_mini-grpo-gsm8k_long-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-phi4_mini-grpo-gsm8k_long-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-phi4_mini-grpo-math_short-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-phi4_mini-grpo-math_short-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-phi4_mini-grpo-math_short-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,grpo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-phi4_mini-oracle_sppo-gsm8k_long-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-phi4_mini-oracle_sppo-gsm8k_long-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-phi4_mini-oracle_sppo-gsm8k_long-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,gsm8k,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,4,4,4,0.45,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-phi4_mini-oracle_sppo-math_short-c1-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-phi4_mini-oracle_sppo-math_short-c1-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-phi4_mini-oracle_sppo-math_short-c1-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c1,phi4_mini,oracle_sppo,math,microsoft/Phi-4-mini-instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,4,8,8,0.45,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c0-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c0-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c0-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c2-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c2-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c2-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c3-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c3-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c3-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c4-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c4-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c4-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c5-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c5-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-grpo-gsm8k_long-c5-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c0-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c0-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c0-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c2-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c2-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c2-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c3-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c3-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c3-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c4-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c4-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c4-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.8,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c5-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c5-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-grpo-math_short-c5-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,grpo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,32,8,8,0.85,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c0-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c0-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c0-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,1,4,4,0.3,True,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c2-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c2-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c2-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,8,4,4,0.6,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c3-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c3-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c3-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.7,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c4-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c4-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c4-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c4,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,16,4,4,0.8,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c5-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c5-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-gsm8k_long-c5-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c5,qwen25_3b,oracle_sppo,gsm8k,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/gsm8k,2,1,32,4,4,0.85,False,False,True,1024,2048,3072,64,2,32,32,32,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c0-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c0-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c0-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c0,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,1,8,8,0.3,True,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c2-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c2-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c2-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c2,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,8,8,8,0.6,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c3-s41,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,41,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c3-s42,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,42,1,100
v2cf-confirm-qwen25_3b-oracle_sppo-math_short-c3-s43,benchmark_v2_cross_family_confirmatory,confirmatory,c3,qwen25_3b,oracle_sppo,math,Qwen/Qwen2.5-3B-Instruct,/mnt/proj3/open-35-44/verl/rl/data/math,2,1,16,8,8,0.7,False,False,True,512,512,1024,128,2,64,64,64,43,1,100
